nom,age,address,region,longitude,latitude,genre
0,03-20-1941,D2X 9L4,Saint-Élie,-72.05719934941415,45.375901284045746,1
1,07-20-1947,V6X 1N8,Saint-Élie,-71.9882370456372,45.38491132298073,0
2,06-24-1976,U2R 8V4,Brompton,-71.9815959221995,45.47812814249414,1
3,01-15-1965,T6N 5C6,Lennoxville,-71.87236439414193,45.367482059678935,0
4,10-27-1953,S8B 2P9,des Nations,-71.90916887612106,45.40829842339943,1
5,12-20-1971,H2C 7U7,des Nations,-71.94848972483852,45.41454448293573,0
6,03-30-1984,O9G 3M7,Saint-Élie,-72.05785010495173,45.37620972833115,1
7,05-13-1983,A7W 5A6,Lennoxville,-71.82653506398833,45.37210374197724,0
8,12-31-1959,X4K 1R6,Fleurimont,-71.86685502646904,45.42837377580621,1
9,12-13-1951,A8F 6A4,Mont-Bellevue,-71.93654935146562,45.37290558063735,1
10,10-04-1971,N7T 1G2,des Nations,-71.93709827329565,45.41887532396708,0
11,06-26-1982,H1G 7C1,Mont-Bellevue,-71.90915048489198,45.36616367460057,1
12,03-13-1970,W1B 3H1,Fleurimont,-71.85917523304836,45.4085586742957,0
13,12-28-1973,W4P 2Q6,Brompton,-71.94524677887492,45.481758649235736,1
14,01-19-1950,S5W 3G3,Brompton,-71.99727231034329,45.48221964336108,0
15,05-15-1971,N5F 7G8,Saint-Élie,-72.05372274442136,45.427244476219784,0
16,12-20-1981,K3Q 4K1,Fleurimont,-71.85915096635887,45.40263015250536,1
17,09-04-1956,W9P 3K2,des Nations,-71.94317271879662,45.417902494055966,1
18,09-23-1982,L7U 1B3,Lennoxville,-71.84319783746554,45.373072532866026,0
19,10-25-1972,M7X 2O2,Brompton,-71.96961791223214,45.502930399483986,1
20,08-22-1964,Q4O 6V7,Fleurimont,-71.8538497845514,45.4103740507221,0
21,12-30-1970,X2W 1M3,Mont-Bellevue,-71.94795831992383,45.369889586180314,1
22,03-14-1976,U7M 7H2,Saint-Élie,-72.05088216876182,45.42156467565058,0
23,08-27-1946,H7K 9V4,des Nations,-71.94126811744627,45.418770744692914,0
24,04-18-1954,P4T 3H9,Saint-Élie,-71.99827274637978,45.38560380589032,1
25,03-04-1967,U5T 4I6,des Nations,-71.92170234336156,45.41496405090711,1
26,02-17-1945,G9V 1C3,Saint-Élie,-72.0502340420638,45.41707525378896,0
27,04-27-1982,U4P 8A5,Saint-Élie,-72.06495325505458,45.42546802531782,1
28,07-31-1984,A9B 7B5,Fleurimont,-71.84931305006587,45.409258646763625,1
29,12-06-1974,E4C 3W3,Mont-Bellevue,-71.90578419856942,45.38718905056158,0
30,05-12-1950,P4U 2F8,Mont-Bellevue,-71.94566634624627,45.38445285311864,0
31,07-16-1955,R4U 5K5,Brompton,-71.98298481520392,45.499418906409986,0
32,02-14-1955,B5N 3R8,Brompton,-71.91516034872237,45.47973424069025,1
33,07-03-1960,D6V 1R3,Brompton,-71.95041345709731,45.47091427746249,1
34,07-20-1970,X4H 9F4,des Nations,-71.96458457152009,45.43134209029507,0
35,08-19-1950,F9W 4M5,Mont-Bellevue,-71.93461458116109,45.392068227089275,0
36,03-15-1975,U1M 9F9,Brompton,-71.94686223311645,45.46540370540751,1
37,11-22-1940,E8A 8H2,Mont-Bellevue,-71.90100173903275,45.388313909103395,0
38,08-23-1984,V3Y 1C4,Lennoxville,-71.84302435795912,45.381801060572755,1
39,01-11-1961,U5A 8G9,des Nations,-71.96296779807896,45.43225302876057,1
40,08-19-1945,M8W 9A1,Lennoxville,-71.82351374075135,45.36826985548712,1
41,11-23-1975,L6C 9V1,Saint-Élie,-72.00562962075527,45.4251797236343,0
42,04-28-1977,P3L 4E5,des Nations,-71.92875181597742,45.42050262251988,0
43,11-17-1976,F5H 4Y5,Mont-Bellevue,-71.92071905629908,45.36818957164978,0
44,05-01-1985,X8S 9E1,Lennoxville,-71.85360914996294,45.36347727619051,1
45,03-30-1956,V7E 9V7,Fleurimont,-71.8723888881913,45.405352666953284,1
46,12-21-1954,D9H 7G5,des Nations,-71.91591794497397,45.40696212030912,0
